date,XLK,XLE,XLF,XLV,XLP,XLU,XLY,SPY,ret_XLK,ret_XLE,ret_XLF,ret_XLV,ret_XLP,ret_XLU,ret_XLY,ret_SPY,rf,excess_XLK,excess_XLE,excess_XLF,excess_XLV,excess_XLP,excess_XLU,excess_XLY,excess_SPY,VIX,DTB3,DFF,DGS10,CPIAUCSL,USREC,regime,vix_regime
2018-08-13,33.87686538696289,26.41850471496582,23.88521957397461,78.54953002929688,43.241661071777344,20.811717987060547,52.08824157714844,250.4086456298828,-0.001370361740981263,-0.012832780278932532,-0.009700192861186174,0.00033485784470688174,0.0,0.0013199578682612234,-0.0050695106620688435,-0.0037501844642120474,8.055555555555556e-05,-0.0014509172965368185,-0.012913335834488088,-0.00978074841674173,0.0002543022891513262,-8.055555555555556e-05,0.001239402312705668,-0.005150066217624399,-0.003830740019767603,14.78,2.03,1.91,2.88,251.663,0,normal,low
2018-08-14,34.08590316772461,26.48249053955078,24.109413146972656,78.91746520996094,43.542179107666016,20.854856491088867,52.594486236572266,252.00636291503903,0.006151557518961681,0.0024190794702660945,0.009342511483768856,0.004673180557034584,0.006925695762448392,0.002070653514574694,0.009672056059932377,0.006360170949728072,8.095238095238096e-05,0.0060706051380093,0.0023381270893137137,0.009261559102816475,0.004592228176082203,0.0068447433814960105,0.0019897011336223133,0.009591103678979996,0.006279218568775691,13.31,2.04,1.91,2.89,251.663,0,normal,low
2018-08-15,33.779335021972656,25.55838966369629,23.91970634460449,78.78605651855469,43.72086334228516,21.047054290771484,51.95353698730469,250.1244659423828,-0.009034676345020198,-0.03551815493265087,-0.007899698804957112,-0.0016665286910466648,0.004095307230566281,0.009173765301349945,-0.012261490169392264,-0.007495679116778398,8.055555555555556e-05,-0.009115231900575754,-0.035598710488206425,-0.007980254360512667,-0.0017470842466022203,0.004014751675010725,0.00909320974579439,-0.01234204572494782,-0.0075762346723339535,14.64,2.03,1.91,2.86,251.663,0,normal,low
2018-08-16,33.927974700927734,25.74320411682129,24.238758087158203,79.55699920654297,44.34624862670898,21.27455139160156,52.20899963378906,252.1484222412109,0.004390660871086638,0.007205049162161359,0.013250273416763214,0.009737702438081364,0.01420270934231338,0.010750976405561108,0.004905087125777197,0.008059233541389155,8.055555555555556e-05,0.004310105315531082,0.007124493606605803,0.013169717861207658,0.009657146882525808,0.014122153786757824,0.010670420850005552,0.004824531570221641,0.007978677985833599,13.45,2.03,1.92,2.87,251.663,0,normal,low
2018-08-17,33.979061126708984,25.807178497314453,24.29049301147461,79.80230712890625,44.687381744384766,21.384376525878903,52.25542831420898,253.0360870361328,0.0015045991861124541,0.002482015073072219,0.002132113838302807,0.0030786795168991077,0.007663054636742661,0.005148998452642939,0.000888889823817518,0.003514223782234538,7.976190476190474e-05,0.0014248372813505494,0.0024022531683103145,0.0020523519335409026,0.002998917612137203,0.0075832927319807565,0.005069236547881034,0.0008091279190556133,0.0034344618774726334,12.64,2.01,1.92,2.87,251.663,0,normal,low
2018-08-20,33.927974700927734,25.98133659362793,24.368093490600582,80.06512451171875,44.66302108764648,21.30985450744629,52.62699890136719,253.5775451660156,-0.0015045991861124541,0.006725767383921166,0.0031895930602798828,0.0032879444785303136,-0.0005452836600565725,-0.0034909678573131764,0.007085498525498668,0.00213755928239312,8.055555555555556e-05,-0.0015851547416680096,0.00664521182836561,0.0031090375047243273,0.003207388922974758,-0.000625839215612128,-0.003571523412868732,0.007004942969943112,0.0020570037268375645,12.49,2.03,1.92,2.82,251.663,0,normal,low
2018-08-21,33.98371505737305,26.112850189208984,24.46294403076172,80.06512451171875,44.34624862670898,21.156879425048828,53.04499816894531,254.1721954345703,0.0016415544705385976,0.005049080640080028,0.003884851285845592,0.0,-0.007117770976686089,-0.007204497728425352,0.007911300237203989,0.0023422977615839002,8.095238095238096e-05,0.0015606020895862166,0.004968128259127647,0.003803898904893211,-8.095238095238096e-05,-0.00719872335763847,-0.007285450109377733,0.007830347856251607,0.0022613453806315195,12.86,2.04,1.92,2.85,251.663,0,normal,low
2018-08-22,34.08590316772461,26.425613403320312,24.37671661376953,80.14397430419922,44.07011413574219,20.99998664855957,53.10074615478516,254.0214385986328,0.003002461003394963,0.011906206898096627,-0.003531044460444388,0.0009843360886465646,-0.006246250810052256,-0.007443318987492287,0.001050404636018687,-0.0005933047179809137,8.134920634920634e-05,0.0029211117970457563,0.011824857691747421,-0.0036123936667935945,0.0009029868822973583,-0.006327600016401463,-0.007524668193841493,0.0009690554296694806,-0.00067465392433012,12.25,2.05,1.92,2.82,251.663,0,normal,low
2018-08-23,34.16023254394531,26.301218032836918,24.264623641967773,80.1176986694336,43.96451950073242,20.98429679870605,53.04964447021485,253.68408203125,0.002178274413223047,-0.004718493332210194,-0.004608967172408995,-0.0003279091564873937,-0.0023989350847131163,-0.0007474154276625455,-0.0009628167775379559,-0.0013289460260930142,8.095238095238096e-05,0.002097322032270666,-0.004799445713162575,-0.0046899195533613765,-0.0004088615374397747,-0.002479887465665497,-0.0008283678086149265,-0.001043769158490337,-0.0014098984070453951,12.41,2.04,1.92,2.82,251.663,0,normal,low
2018-08-24,34.50396728515625,26.49314308166504,24.35084342956543,80.50315856933594,43.90766906738281,21.074508666992188,53.36082458496094,255.21090698242188,0.010012134808939255,0.007270696727986969,0.0035470142811653282,0.004799633702603501,-0.0012939347979812332,0.004289803556245975,0.0058486914785431665,0.006000568154427732,8.134920634920634e-05,0.009930785602590048,0.007189347521637763,0.0034656650748161218,0.004718284496254294,-0.0013752840043304395,0.004208454349896768,0.00576734227219396,0.005919218948078526,11.99,2.05,1.92,2.82,251.663,0,normal,low
2018-08-27,34.8198356628418,26.688629150390625,24.678524017333984,80.79226684570312,43.93203353881836,20.9450740814209,53.70451736450195,257.2257995605469,0.00911290351051619,0.007351652303777101,0.013366905747403734,0.0035848330507173287,0.0005547485097854299,-0.00616069872603342,0.006420265491360766,0.007864007149520624,8.253968253968253e-05,0.009030363827976508,0.007269112621237419,0.013284366064864052,0.003502293368177646,0.0004722088272457474,-0.006243238408573102,0.006337725808821084,0.007781467466980942,12.16,2.08,1.92,2.85,251.663,0,normal,low
2018-08-28,34.880218505859375,26.574892044067383,24.65265274047852,80.83609008789062,43.78583526611328,20.901933670043945,53.81134796142578,257.35009765625,0.0017326488148077246,-0.004270738270600649,-0.0010488814955436077,0.0005422717163341417,-0.003333378023639977,-0.0020618165540522426,0.001987253355729468,0.0004831089011085865,8.293650793650792e-05,0.0016497123068712166,-0.004353674778537157,-0.0011318180034801156,0.0004593352083976338,-0.003416314531576485,-0.0021447530619887506,0.00190431684779296,0.00040017239317207857,12.5,2.09,1.92,2.88,251.663,0,normal,low
